metro_id,fullaqsid,date,aq_daily_mean,temp_daily_mean,rhum_daily_mean,precip_daily_mean,ws_daily_mean,wd_daily_mean_deg,barpr_daily_mean,population,bg3,sat_monthly_mean,metro_pop_density_year,dist_km_motorway_trunk_primary_secondary,partition_key
950,ITA_IT0477A,2024-09-12,5.43,17.42,77.83,0.31,2.42,45.5,1003.68,14837.52,4.22,8.408,7500.0,0.071,PM2.5-1HR
950,ITA_IT0480A,2024-09-12,5.93,17.42,77.83,0.31,2.42,45.5,1003.68,11579.4,4.22,8.408,7500.0,0.344,PM2.5-1HR
950,ITA_IT1294A,2024-09-12,0.26,17.61,57.58,1.32,5.29,13.89,1003.89,1809.29,0,2.5,7500.0,0.667,PM2.5-1HR
950,ITA_IT1692A,2024-09-12,3.56,17.42,77.83,0.31,2.42,45.5,1003.68,11683.06,4.22,8.408,7500.0,0.866,PM2.5-1HR
950,ITA_IT0477A,2024-09-13,1.87,15.01,47.58,0,5.98,329.1,1009.35,14837.52,3.2,6.98,7500.0,0.071,PM2.5-1HR
950,ITA_IT0480A,2024-09-13,3.09,15.01,47.58,0,5.98,329.1,1009.35,11579.4,3.2,6.98,7500.0,0.344,PM2.5-1HR
950,ITA_IT1294A,2024-09-13,0,16.4,32.63,0,7.28,352.88,1010.2,1809.29,0,2.5,7500.0,0.667,PM2.5-1HR
950,ITA_IT1692A,2024-09-13,3.69,15.01,47.58,0,5.98,329.1,1009.35,11683.06,3.2,6.98,7500.0,0.866,PM2.5-1HR
950,ITA_IT0477A,2024-09-14,1.59,16.56,38.54,0,6.91,331.57,1014.99,14837.52,2.58,6.112,7500.0,0.071,PM2.5-1HR
950,ITA_IT0480A,2024-09-14,2.71,16.56,38.54,0,6.91,331.57,1014.99,11579.4,2.58,6.112,7500.0,0.344,PM2.5-1HR
950,ITA_IT1294A,2024-09-14,3.51,16.77,37.42,0,6.12,350.1,1015.98,1809.29,0,2.5,7500.0,0.667,PM2.5-1HR
950,ITA_IT1692A,2024-09-14,3.41,16.56,38.54,0,6.91,331.57,1014.99,11683.06,2.58,6.112,7500.0,0.866,PM2.5-1HR
950,ITA_IT0477A,2024-09-15,3.66,17.45,49.04,0,2.89,349.02,1013.13,14837.52,4.49,8.786,7500.0,0.071,PM2.5-1HR
950,ITA_IT0480A,2024-09-15,8.26,17.45,49.04,0,2.89,349.02,1013.13,11579.4,4.49,8.786,7500.0,0.344,PM2.5-1HR
950,ITA_IT1294A,2024-09-15,5.3,17.43,47.13,0,3,348.47,1013.46,1809.29,3.66,7.624,7500.0,0.667,PM2.5-1HR
950,ITA_IT1692A,2024-09-15,5.13,17.45,49.04,0,2.89,349.02,1013.13,11683.06,4.49,8.786,7500.0,0.866,PM2.5-1HR
950,ITA_IT0477A,2024-09-16,6.46,17.23,51.13,0,3.45,359.45,1012.68,14837.52,5.17,9.738,7500.0,0.071,PM2.5-1HR
950,ITA_IT0480A,2024-09-16,6.08,17.23,51.13,0,3.45,359.45,1012.68,11579.4,5.17,9.738,7500.0,0.344,PM2.5-1HR
950,ITA_IT1294A,2024-09-16,7.01,17.15,45.88,0,3.51,4.85,1012.98,1809.29,5.37,10.018,7500.0,0.667,PM2.5-1HR
950,ITA_IT1692A,2024-09-16,6.25,17.23,51.13,0,3.45,359.45,1012.68,11683.06,5.17,9.738,7500.0,0.866,PM2.5-1HR
950,ITA_IT0477A,2024-09-17,6.34,15.71,68.71,0.35,2.63,53.19,1016.08,14837.52,5.8,10.62,7500.0,0.071,PM2.5-1HR
950,ITA_IT0480A,2024-09-17,7.73,15.71,68.71,0.35,2.63,53.19,1016.08,11579.4,5.8,10.62,7500.0,0.344,PM2.5-1HR
950,ITA_IT1294A,2024-09-17,4.24,16.07,68,0.06,2.28,40.94,1016.18,1809.29,4.15,8.31,7500.0,0.667,PM2.5-1HR
950,ITA_IT1692A,2024-09-17,4.46,15.71,68.71,0.35,2.63,53.19,1016.08,11683.06,5.8,10.62,7500.0,0.866,PM2.5-1HR
950,ITA_IT0477A,2024-09-18,5.86,14.85,78.33,0.15,2.2,300.36,1019.42,14837.52,5.35,9.99,7500.0,0.071,PM2.5-1HR
