metro_id,fullaqsid,date,aq_daily_mean,temp_daily_mean,rhum_daily_mean,precip_daily_mean,ws_daily_mean,wd_daily_mean_deg,barpr_daily_mean,population,bg3,sat_monthly_mean,metro_pop_density_year,dist_km_motorway_trunk_primary_secondary,partition_key
1,340030010,2024-09-12,10.83,19.2,79.04,0,1.43,141.56,1024.02,5637.88,3.84,7.876,745.0,0.025,PM2.5-1HR
1,340170008,2024-09-12,7.68,19.29,80.15,0,1.46,130.82,1024,15160.16,4.96,9.444,745.0,0.025,PM2.5-1HR
1,340171003,2024-09-12,9.15,19.35,80.5,0,1.51,127.56,1024,9296.63,4.7,9.08,745.0,0.034,PM2.5-1HR
1,340190001,2024-09-12,9.38,19.27,72.56,0,1.55,114.59,1023.74,294.24,4.5,8.8,745.0,0.682,PM2.5-1HR
1,340230011,2024-09-12,7.53,19.33,75.88,0,1.6,112.35,1023.85,288.32,0.6,3.34,745.0,0.312,PM2.5-1HR
1,340273001,2024-09-12,7.51,19.01,71.24,0,1.41,123.85,1023.87,302.48,2,5.3,745.0,1.884,PM2.5-1HR
1,340292002,2024-09-12,6.36,19.95,76.91,0,2.15,107.36,1023.86,743.15,0.6,3.34,745.0,0.12,PM2.5-1HR
1,340310005,2024-09-12,11.17,18.89,75.54,0,1.41,153.18,1024.01,8891.11,4,8.1,745.0,0.018,PM2.5-1HR
1,340390004,2024-09-12,10.82,19.28,79.07,0,1.56,122.19,1023.96,1707.98,2.05,5.37,745.0,0.043,PM2.5-1HR
1,340392003,2024-09-12,6.56,19.25,78.34,0,1.56,119.78,1023.93,4289.49,2.07,5.398,745.0,0.616,PM2.5-1HR
1,360050080,2024-09-12,6.84,19.29,79.03,0,1.46,140.77,1024.03,35090.54,3.95,8.03,745.0,0.075,PM2.5-1HR
1,360050112,2024-09-12,8.18,19.36,79.03,0,1.5,140.51,1024.04,9851.01,3.74,7.736,745.0,0.271,PM2.5-1HR
1,36005NY11534,2024-09-12,9.03,19.34,79.42,0,1.48,137.9,1024.03,15560.63,4.56,8.884,745.0,0.007,PM2.5-1HR
1,36005NY12387,2024-09-12,8.35,19.29,78.85,0,1.46,142.18,1024.04,29679.38,3.84,7.876,745.0,0.027,PM2.5-1HR
1,360470052,2024-09-12,8.58,19.5,81.77,0,1.66,125.05,1024,19191.06,3.77,7.778,745.0,0.069,PM2.5-1HR
1,360470118,2024-09-12,8.89,19.52,80.62,0,1.62,131.17,1024.03,25416.06,4.94,9.416,745.0,0.028,PM2.5-1HR
1,36047NY07974,2024-09-12,10.1,19.47,80.99,0,1.58,129.43,1024.02,29673.78,4.43,8.702,745.0,0.004,PM2.5-1HR
1,360590005,2024-09-12,5.38,19.74,79.86,0,1.84,142.88,1024.14,1271.29,3.4,7.26,745.0,0.035,PM2.5-1HR
1,360610115,2024-09-12,6.44,19.24,78.94,0,1.44,141.59,1024.03,35135.95,3.84,7.876,745.0,0.046,PM2.5-1HR
1,360610135,2024-09-12,10.17,19.29,79.44,0,1.46,138.04,1024.03,31800.18,4.04,8.156,745.0,0.114,PM2.5-1HR
1,36061NY08454,2024-09-12,13.5,19.42,81.36,0,1.53,128.1,1024,29954.97,4.43,8.702,745.0,0.004,PM2.5-1HR
1,36061NY08552,2024-09-12,12.82,19.43,81.2,0,1.53,128.68,1024.01,33213.94,4.43,8.702,745.0,0.014,PM2.5-1HR
1,36061NY08653,2024-09-12,10.92,19.43,81.02,0,1.53,129.42,1024.01,20683.14,4.62,8.968,745.0,0.018,PM2.5-1HR
1,36061NY09734,2024-09-12,12.76,19.38,80.95,0,1.48,130.4,1024,15205.42,4.53,8.842,745.0,0.05,PM2.5-1HR
1,36061NY09929,2024-09-12,15.49,19.37,80.9,0,1.47,130.64,1024,16624.99,4.53,8.842,745.0,0.07,PM2.5-1HR
1,36061NY10130,2024-09-12,12.72,19.38,80.48,0,1.49,132.16,1024.01,38756.72,4.34,8.576,745.0,0.001,PM2.5-1HR
1,36061NY12380,2024-09-12,9.33,19.25,78.97,0,1.45,141.34,1024.03,25785.64,3.95,8.03,745.0,2.02,PM2.5-1HR
1,360810120,2024-09-12,5.56,19.51,79.93,0,1.59,134.24,1024.03,10983.64,4.48,8.772,745.0,0.026,PM2.5-1HR
1,360810124,2024-09-12,7.45,19.58,78.97,0,1.64,138.27,1024.06,6899.96,2.84,6.476,745.0,0.303,PM2.5-1HR
1,360810125,2024-09-12,7.27,19.58,78.9,0,1.64,138.59,1024.06,8589.9,2.84,6.476,745.0,0.011,PM2.5-1HR
1,36081NY07615,2024-09-12,5.66,19.66,79.09,0,1.74,136.06,1024.07,11490.4,2.84,6.476,745.0,0.005,PM2.5-1HR
1,36081NY09285,2024-09-12,6.2,19.58,78.96,0,1.64,138.31,1024.06,6104.48,2.84,6.476,745.0,0.286,PM2.5-1HR
1,360850055,2024-09-12,5.81,19.37,80.15,0,1.61,122.86,1023.97,7882.64,2.42,5.888,745.0,0.534,PM2.5-1HR
1,360850111,2024-09-12,7.7,19.34,79.9,0,1.63,120.31,1023.95,110.49,2.05,5.37,745.0,0.575,PM2.5-1HR
1,36085NY03820,2024-09-12,9.38,19.38,80.21,0,1.63,121.9,1023.97,2625.67,2.42,5.888,745.0,0.005,PM2.5-1HR
1,360870005,2024-09-12,4.93,18.33,74.6,0,1.45,170.05,1024.04,754.6,2.6,6.14,745.0,0.525,PM2.5-1HR
1,361030009,2024-09-12,3.82,20.02,77.06,0,1.7,157.67,1024.22,1178.59,3,6.7,745.0,0.166,PM2.5-1HR
1,361192004,2024-09-12,5.61,19.01,77.34,0,1.38,161.94,1024.08,1542.07,1,3.9,745.0,0.161,PM2.5-1HR
1,340030010,2024-09-13,9.61,20.01,79.55,0,1.11,120.51,1023.93,5637.88,3.9,7.96,745.0,0.025,PM2.5-1HR
1,340170008,2024-09-13,8.62,20,80.49,0,1.16,88.12,1023.93,15160.16,4.37,8.618,745.0,0.025,PM2.5-1HR
1,340171003,2024-09-13,8.73,20.01,80.9,0,1.21,82.61,1023.93,9296.63,4.26,8.464,745.0,0.034,PM2.5-1HR
1,340190001,2024-09-13,8.86,20,72.02,0,1.15,76.5,1023.84,294.24,2.5,6.0,745.0,0.682,PM2.5-1HR
1,340230011,2024-09-13,5.56,19.98,75.56,0,1.42,74.96,1023.86,288.32,1.1,4.04,745.0,0.312,PM2.5-1HR
1,340273001,2024-09-13,6.73,19.86,70.68,0,0.91,79.56,1023.95,302.48,0,2.5,745.0,1.884,PM2.5-1HR
1,340292002,2024-09-13,5.83,20.54,78.54,0,2.32,72.29,1023.79,743.15,0.2,2.78,745.0,0.12,PM2.5-1HR
1,340310005,2024-09-13,9.55,19.8,75.64,0,1.09,163.85,1023.95,8891.11,5,9.5,745.0,0.018,PM2.5-1HR
1,340390004,2024-09-13,9.75,19.89,79.21,0,1.26,76.91,1023.92,1707.98,3.73,7.722,745.0,0.043,PM2.5-1HR
1,340392003,2024-09-13,8.33,19.87,78.29,0,1.28,75.84,1023.91,4289.49,3.9,7.96,745.0,0.616,PM2.5-1HR
1,360050080,2024-09-13,7.48,20.07,79.78,0,1.13,106.85,1023.94,35090.54,3.98,8.072,745.0,0.075,PM2.5-1HR
1,360050112,2024-09-13,8.73,20.11,79.99,0,1.17,95.95,1023.94,9851.01,3.83,7.862,745.0,0.271,PM2.5-1HR
1,36005NY11534,2024-09-13,8.2,20.08,80.21,0,1.16,93.04,1023.93,15560.63,4.01,8.114,745.0,0.007,PM2.5-1HR
1,36005NY12387,2024-09-13,5.62,20.07,79.64,0,1.13,113.63,1023.94,29679.38,3.9,7.96,745.0,0.027,PM2.5-1HR
1,360470052,2024-09-13,7.42,20.04,82.52,0,1.39,83.63,1023.92,19191.06,4.21,8.394,745.0,0.069,PM2.5-1HR
1,360470118,2024-09-13,7.81,20.12,81.68,0,1.33,88.55,1023.93,25416.06,4.31,8.534,745.0,0.028,PM2.5-1HR
1,36047NY07974,2024-09-13,6.85,20.09,81.82,0,1.29,86.11,1023.93,29673.78,4.22,8.408,745.0,0.004,PM2.5-1HR
1,360590005,2024-09-13,5.29,20.25,83.08,0,1.53,108.91,1023.99,1271.29,4.2,8.38,745.0,0.035,PM2.5-1HR
1,360610115,2024-09-13,6.74,20.04,79.6,0,1.12,117.4,1023.94,35135.95,3.9,7.96,745.0,0.046,PM2.5-1HR
1,360610135,2024-09-13,9,20.05,80.08,0,1.14,98.86,1023.93,31800.18,4.14,8.296,745.0,0.114,PM2.5-1HR
1,36061NY08454,2024-09-13,11.22,20.05,81.92,0,1.24,83.79,1023.92,29954.97,4.22,8.408,745.0,0.004,PM2.5-1HR
1,36061NY08552,2024-09-13,10.19,20.06,81.82,0,1.25,84.51,1023.92,33213.94,4.22,8.408,745.0,0.014,PM2.5-1HR
1,36061NY08653,2024-09-13,8.83,20.08,81.7,0,1.25,85.43,1023.92,20683.14,4.22,8.408,745.0,0.018,PM2.5-1HR
1,36061NY09734,2024-09-13,9.82,20.06,81.45,0,1.19,88.27,1023.92,15205.42,4.35,8.59,745.0,0.05,PM2.5-1HR
1,36061NY09929,2024-09-13,13.04,20.06,81.38,0,1.18,88.44,1023.92,16624.99,4.35,8.59,745.0,0.07,PM2.5-1HR
1,36061NY10130,2024-09-13,9.79,20.08,81.11,0,1.19,89.17,1023.93,38756.72,4.24,8.436,745.0,0.001,PM2.5-1HR
1,36061NY12380,2024-09-13,7.53,20.05,79.65,0,1.12,115.15,1023.94,25785.64,3.98,8.072,745.0,2.02,PM2.5-1HR
1,360810120,2024-09-13,5.94,20.15,81.09,0,1.29,91.31,1023.93,10983.64,4.26,8.464,745.0,0.026,PM2.5-1HR
1,360810124,2024-09-13,6.28,20.22,80.53,0,1.33,95.29,1023.94,6899.96,3.68,7.652,745.0,0.303,PM2.5-1HR
1,360810125,2024-09-13,5.85,20.22,80.47,0,1.33,95.61,1023.94,8589.9,3.68,7.652,745.0,0.011,PM2.5-1HR
1,36081NY07615,2024-09-13,5.4,20.24,80.88,0,1.45,94.32,1023.95,11490.4,3.68,7.652,745.0,0.005,PM2.5-1HR
1,36081NY09285,2024-09-13,4.91,20.22,80.52,0,1.33,95.33,1023.94,6104.48,3.68,7.652,745.0,0.286,PM2.5-1HR
1,360850055,2024-09-13,5.39,19.95,80.52,0,1.32,79.89,1023.92,7882.64,4.04,8.156,745.0,0.534,PM2.5-1HR
1,360850111,2024-09-13,6.75,19.91,80.11,0,1.35,78.5,1023.91,110.49,3.73,7.722,745.0,0.575,PM2.5-1HR
1,36085NY03820,2024-09-13,8.19,19.94,80.56,0,1.35,79.9,1023.92,2625.67,4.04,8.156,745.0,0.005,PM2.5-1HR
1,360870005,2024-09-13,5.74,19.7,74.66,0,1.08,238.04,1023.96,754.6,2.3,5.72,745.0,0.525,PM2.5-1HR
1,361030009,2024-09-13,4.56,20.6,83.18,0,1.46,141.56,1024.02,1178.59,3.5,7.4,745.0,0.166,PM2.5-1HR
