policy_id,policy_uid,system_type,metro_id
25,SGP-ERP-002,cordon,955
27,LON-CCZ-2003,cordon,943
28,LON-ULEZ-2021-INNER,ULEZ,943
32,NYC-CP-001,cordon,1
36,MIL-AREA-C-001,cordon,950
39,STO-CT-001,cordon,949
41,LON-CCZ-WE-2007,cordon,943
42,LON-CCZ-CORE-2011,cordon,943
43,LON-ULEZ-2019-CENTRAL,ULEZ,943
44,LON-ULEZ-2023-WIDE,ULEZ,943
58,STO-CT-TRIAL-2006,cordon,949
61,GOT-CT-001,cordon,957
62,OSL-TR-1990,cordon,956
63,OSL-TR-2017,cordon,956
64,OSL-TR-2019,cordon,956
65,BRG-TR-1986,cordon,958
66,BRG-TR-2019,cordon,958
68,MIL-AREA-C-002,cordon,950
69,MIL-AREA-C-003,cordon,950
