metro_id,fullaqsid,policy_id,start_date,end_date
1,360610010,32,2025-01-05,NA
1,360610056,32,2025-01-05,NA
1,360610062,32,2025-01-05,NA
1,360610117,32,2025-01-05,NA
1,360610125,32,2025-01-05,NA
1,360610128,32,2025-01-05,NA
1,360610134,32,2025-01-05,NA
1,36061NY08454,32,2025-01-05,NA
1,36061NY08552,32,2025-01-05,NA
1,36061NY09734,32,2025-01-05,NA
1,36061NY09929,32,2025-01-05,NA
1,36061NY10130,32,2025-01-05,NA
1,840360610125,32,2025-01-05,NA
1,840360610128,32,2025-01-05,NA
1,840360610134,32,2025-01-05,NA
943,ERG-A30,44,2023-08-29,NA
943,ERG-BG1,44,2023-08-29,NA
943,ERG-BG2,44,2023-08-29,NA
943,ERG-BG3,44,2023-08-29,NA
943,ERG-BL0,27,2003-02-17,2007-02-18
943,ERG-BL0,28,2021-10-25,2023-08-28
943,ERG-BL0,41,2007-02-19,2011-01-03
943,ERG-BL0,42,2011-01-04,NA
943,ERG-BL0,43,2019-04-08,2021-10-24
943,ERG-BL0,44,2023-08-29,NA
943,ERG-BN1,44,2023-08-29,NA
943,ERG-BN2,44,2023-08-29,NA
943,ERG-BN3,28,2021-10-25,2023-08-28
943,ERG-BN3,44,2023-08-29,NA
943,ERG-BP0,28,2021-10-25,2023-08-28
943,ERG-BP0,41,2007-02-19,2011-01-03
943,ERG-BP0,44,2023-08-29,NA
943,ERG-BQ5,44,2023-08-29,NA
943,ERG-BQ6,44,2023-08-29,NA
943,ERG-BQ7,44,2023-08-29,NA
943,ERG-BQ8,44,2023-08-29,NA
943,ERG-BQ9,44,2023-08-29,NA
943,ERG-BT1,44,2023-08-29,NA
943,ERG-BT2,44,2023-08-29,NA
943,ERG-BT3,28,2021-10-25,2023-08-28
943,ERG-BT3,44,2023-08-29,NA
943,ERG-BT4,44,2023-08-29,NA
943,ERG-BT5,28,2021-10-25,2023-08-28
943,ERG-BT5,44,2023-08-29,NA
943,ERG-BT6,28,2021-10-25,2023-08-28
943,ERG-BT6,44,2023-08-29,NA
943,ERG-BT7,28,2021-10-25,2023-08-28
943,ERG-BT7,44,2023-08-29,NA
943,ERG-BT8,28,2021-10-25,2023-08-28
943,ERG-BT8,44,2023-08-29,NA
943,ERG-BX0,44,2023-08-29,NA
943,ERG-BX1,44,2023-08-29,NA
